URL,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
http://www.cian.ru/sale/flat/150997195/,1,8104000,43.0,18.0,11.0,12.099,5,1,1,None,1,4,24,1
http://www.cian.ru/sale/flat/150331343/,1,3900000,15.0,9.0,2.0,17.879,3,1,1,1,0,4,5,0
http://www.cian.ru/sale/flat/150458437/,1,5700000,36.0,21.0,6.7,13.203,5,0,0,1,1,4,9,0
http://www.cian.ru/sale/flat/149640826/,2,6300000,42.2,26.9,6.0,11.800,5,0,1,1,0,1,5,0
http://www.cian.ru/sale/flat/150171198/,3,9250000,58.1,36.0,None,18.433,15,1,0,1,1,4,9,0
http://www.cian.ru/sale/flat/147490933/,1,5250000,34.0,18.0,8.0,13.864,10,1,0,1,0,6,9,0
http://www.cian.ru/sale/flat/151048950/,1,4898000,31.2,18.0,10.0,14.388,None,None,1,None,1,3,7,1
http://www.cian.ru/sale/flat/150762116/,1,9550000,39.0,17.0,9.0,7.785,3,1,0,None,1,7,19,0
http://www.cian.ru/sale/flat/148532599/,2,4400000,36.6,22.3,7.0,27.866,13,0,0,None,0,1,9,0
http://www.cian.ru/sale/flat/147502900/,3,9950000,50.0,33.0,7.0,5.662,5,0,1,1,1,4,5,0
http://www.cian.ru/sale/flat/150950880/,2,10600000,54.4,28.1,11.0,8.652,None,None,0,1,1,14,16,0
http://www.cian.ru/sale/flat/150462965/,1,4500000,30.0,15.3,6.0,8.221,5,0,1,None,0,1,5,0
http://www.cian.ru/sale/flat/150816341/,1,6300000,39.0,20.0,9.0,18.848,10,0,0,1,1,16,22,0
http://www.cian.ru/sale/flat/148015551/,2,6000000,40.0,23.0,6.0,12.777,10,1,0,1,1,2,12,0
http://www.cian.ru/sale/flat/149455271/,2,7000000,47.0,30.0,6.0,15.998,15,1,0,0,1,1,9,0
http://www.cian.ru/sale/flat/49257106/,1,6100000,30.0,18.0,6.0,9.242,10,0,None,0,1,7,8,0
http://www.cian.ru/sale/flat/149280879/,1,7474407,39.9,17.0,10.3,17.010,5,1,1,None,1,8,19,1
