URL,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
http://www.cian.ru/sale/flat/148700140/,2,37722000,132.0,45.0,46.0,3.313,10,1,1,0,0,12,22.0,0
http://www.cian.ru/sale/flat/150566757/,4,65000000,403.0,250.0,20.0,9.206,15,1,1,1,1,4,21.0,0
http://www.cian.ru/sale/flat/148207390/,2,16000000,53.0,28.4,9.3,10.154,10,1,None,None,1,6,17.0,0
http://www.cian.ru/sale/flat/149976479/,2,7500000,47.0,30.0,6.0,11.448,5,0,0,1,1,5,9.0,0
http://www.cian.ru/sale/flat/149804262/,3,40434354,95.0,50.0,12.0,11.981,7,1,1,1,1,15,22.0,0
http://www.cian.ru/sale/flat/150403921/,3,11500000,54.6,36.6,5.6,9.048,2,1,1,1,1,8,8.0,0
http://www.cian.ru/sale/flat/150257369/,1,4300000,34.9,19.4,9.6,19.056,None,None,0,1,1,5,14.0,0
http://www.cian.ru/sale/flat/150684860/,1,8475000,56.5,None,13.5,19.082,5,0,1,None,0,2,24.0,1
http://www.cian.ru/sale/flat/150842677/,1,4317904,33.8,None,None,14.683,4,0,1,None,1,2,17.0,1
http://www.cian.ru/sale/flat/150425208/,2,19980000,66.6,45.0,15.0,8.452,17,1,1,0,0,14,33.0,0
http://www.cian.ru/sale/flat/150643842/,2,6200000,47.0,29.0,6.0,11.411,5,0,0,1,0,1,5.0,0
http://www.cian.ru/sale/flat/150900813/,1,5656000,38.0,19.0,8.0,17.964,21,1,None,None,1,5,10.0,0
